0,4/9/2017 17:20,10323,33.79
1,8/4/2018 22:47,10081,32.82
2,7/25/2017 18:44,10203,54.88
3,5/28/2018 1:47,10376,56.67
4,1/23/2016 12:25,10482,48.82
5,11/18/2018 18:23,10444,34.13
6,6/18/2019 16:15,10126,9.81
7,12/6/2016 16:34,10218,42.69
8,11/20/2016 3:52,10168,0.94
9,7/14/2018 5:55,10316,24.97
10,8/11/2017 5:02,10463,23.89
11,1/6/2019 8:50,10022,21.28
12,5/9/2018 15:34,10199,52.17
13,1/14/2016 2:44,10297,42.81
14,9/19/2016 23:52,10451,13.45
15,2/14/2016 19:52,10422,35.97
16,6/11/2018 15:11,10450,34.14
17,4/19/2017 15:05,10487,23.04
18,8/16/2019 9:05,10051,39.62
19,3/12/2016 14:14,10061,22
20,3/28/2017 1:15,10426,40.05
21,12/12/2017 19:45,10352,23.54
22,8/7/2018 13:39,10146,49.08
23,5/19/2019 7:34,10276,54.56
24,1/17/2017 1:38,10303,10.88
25,7/9/2019 19:19,10227,-7.3
26,1/20/2020 21:17,10279,31.78
27,3/15/2018 22:31,10403,81.94
28,7/18/2017 9:39,10341,12.71
29,12/7/2017 15:06,10078,36.55
30,1/6/2019 17:46,10258,6.72
31,12/20/2018 6:51,10167,34.98
32,3/9/2016 13:14,10449,60.33
33,2/11/2016 7:37,10088,30.11
34,1/1/2019 15:19,10313,39.77
35,3/29/2018 1:28,10458,26.47
36,11/15/2019 1:19,10015,52.77
37,5/10/2016 21:57,10411,34.75
38,3/28/2017 18:13,10450,47.93
39,4/17/2018 16:02,10036,41.03
40,12/30/2016 2:07,10255,19.6
41,2/17/2016 6:05,10237,24.08
42,1/4/2018 8:30,10335,-18.6
43,7/31/2016 0:37,10280,44.08
44,9/10/2016 16:33,10319,21.11
45,2/14/2018 18:55,10450,45.63
46,9/1/2018 6:10,10029,28.19
47,3/31/2017 21:59,10198,30.81
48,8/12/2018 20:50,10471,58.43
49,7/21/2019 23:56,10330,26.23
50,6/19/2019 21:38,10157,6.73
51,2/16/2016 23:35,10283,-5.88
52,2/7/2017 23:07,10270,38.93
53,12/24/2019 11:15,10428,-32.97
54,4/24/2017 11:10,10288,11.92
55,1/31/2017 14:51,10018,35.55
56,4/6/2019 18:31,10014,21.9
57,11/18/2017 6:16,10290,50.83
58,3/9/2016 3:53,10197,75.53
59,9/19/2018 0:16,10381,38.53
60,7/22/2016 1:00,10471,0.49
61,7/4/2019 5:31,10459,32.74
62,2/17/2017 10:43,10184,16.27
63,5/20/2018 5:40,10109,22.87
64,6/16/2016 16:08,10336,52.66
