record_id,date,user_id,amount
313,4/16/2018 7:05,10419,2.72
889,8/16/2017 21:46,10419,72.95
926,5/6/2019 20:11,10419,31.46
1165,1/10/2018 19:12,10419,38.4
3218,4/4/2019 23:26,10419,14.17
4067,6/1/2019 0:25,10419,32.34
4289,10/2/2019 21:49,10419,37.36
5511,8/2/2017 8:15,10419,49.17
5692,3/31/2017 7:47,10419,33.38
5895,12/7/2016 20:11,10419,11.41
6567,9/6/2018 7:16,10419,16.86
8335,2/14/2018 2:54,10419,9.93
8501,5/11/2019 18:18,10419,58.6
9069,4/15/2019 13:30,10419,-4.15
9111,5/27/2016 12:31,10419,2.04
