record_id,date,user_id,amount
63,5/20/2018 5:40,10109,22.87
219,12/9/2016 18:48,10109,36.27
1053,9/28/2018 16:48,10109,8.83
1281,8/28/2017 12:13,10109,14.4
2851,4/24/2018 12:33,10109,49.1
2915,12/19/2018 16:28,10109,60.84
3333,1/1/2016 20:48,10109,-6.66
3368,6/22/2019 2:39,10109,54.38
3881,7/25/2016 22:35,10109,42.24
4309,8/12/2018 12:19,10109,44.81
6173,5/15/2019 6:15,10109,43.01
6741,2/14/2019 19:08,10109,16.83
6982,12/15/2018 2:52,10109,49.77
7091,8/27/2016 4:18,10109,76.8
8518,3/31/2017 19:10,10109,36.15
9059,11/20/2016 1:51,10109,59.24
9185,2/1/2019 5:55,10109,33.01
9296,8/9/2018 15:37,10109,57.45
9639,2/23/2018 16:59,10109,40.96
