record_id,date,user_id,amount
18,8/16/2019 9:05,10051,39.62
431,8/12/2016 3:29,10051,7.29
594,12/18/2018 1:43,10051,26.64
1699,6/17/2018 8:52,10051,45.76
1849,4/21/2016 21:40,10051,25.46
2352,1/15/2020 15:18,10051,55.08
2738,12/23/2016 1:22,10051,44.77
4557,12/16/2016 21:16,10051,50.89
4791,9/22/2016 19:19,10051,19.47
5116,10/21/2019 23:02,10051,22.01
5328,5/31/2016 2:32,10051,56.7
5626,12/23/2019 16:41,10051,51.13
5738,8/5/2018 14:32,10051,33.27
7094,11/15/2019 3:01,10051,8.12
7276,6/2/2019 20:21,10051,46.11
7291,4/16/2017 4:16,10051,31.0
7890,4/28/2019 3:11,10051,24.74
8895,6/18/2016 22:43,10051,11.98
9655,4/1/2017 20:07,10051,47.97
9873,2/2/2019 5:56,10051,84.33
9875,6/2/2016 11:22,10051,63.21
9882,2/10/2016 2:38,10051,51.41
