record_id,date,user_id,amount
104,8/6/2019 20:39,10096,15.97
533,2/22/2019 3:08,10096,28.48
793,7/2/2018 15:25,10096,20.68
1182,12/3/2018 22:19,10096,-26.59
1223,1/23/2016 7:16,10096,8.92
1309,6/14/2016 11:08,10096,21.15
2236,10/3/2019 20:22,10096,55.75
2365,8/21/2016 16:54,10096,24.38
2858,3/31/2019 13:32,10096,48.32
3104,1/12/2019 22:03,10096,55.93
3366,2/11/2017 23:05,10096,19.88
3688,4/30/2017 9:46,10096,-35.98
4179,1/20/2020 8:25,10096,18.76
4201,7/27/2019 3:47,10096,35.64
4550,4/3/2016 3:14,10096,7.39
4847,12/18/2018 15:00,10096,12.82
5366,1/27/2016 19:17,10096,58.63
5516,11/21/2018 1:22,10096,27.08
5820,7/17/2018 14:59,10096,20.23
6150,6/16/2016 21:56,10096,30.16
6713,9/24/2018 9:32,10096,21.19
7126,5/6/2018 0:09,10096,42.37
7635,8/22/2016 19:20,10096,52.98
8076,9/7/2019 10:08,10096,25.99
8867,6/1/2017 15:21,10096,-6.4
8926,10/14/2019 5:39,10096,49.62
9443,2/26/2018 4:29,10096,30.24
9958,8/6/2016 12:29,10096,26.98
