record_id,date,user_id,amount
1831,4/21/2016 7:11,10161,21.75
2213,9/9/2016 14:35,10161,20.01
3452,1/13/2016 10:54,10161,21.97
4167,7/15/2019 16:56,10161,-3.26
5174,9/26/2016 15:57,10161,-6.95
6248,8/6/2018 12:13,10161,44.33
6358,11/9/2017 1:04,10161,26.79
6983,6/27/2018 0:56,10161,29.9
7217,1/12/2020 12:56,10161,-7.96
7240,3/12/2016 3:16,10161,44.24
7341,4/5/2017 11:27,10161,29.29
7579,5/8/2016 3:53,10161,-2.31
9153,6/14/2016 16:08,10161,10.02
9705,10/15/2019 7:21,10161,7.03
9721,3/2/2017 6:02,10161,5.5
9898,1/21/2016 8:59,10161,21.86
